Task_ID,Task_Date,Machine_ID,Operator_ID,Task_Type,Task_Area_sqm,Material_Type,Ground_Condition,Ground_Slope_deg,Site_Distance_km,Weather,Temperature_C,Crew_Size,Operator_Skill,Operator_Experience_Months,Machine_Age_yrs,Machine_Condition,Permit_Setup_Delay_min,Breakdown_Occurred,Estimated_Time_min,Actual_Time_min
T1019,2025-01-01 17:32:00,MCH107,OP2010,Grading,89.5,Concrete,Soft,4.0,35.8,Rainy,21.3,5,Expert,148,9.5,Good,9.7,No,79.2,163.8
T1020,2025-01-01 19:34:00,MCH103,OP2017,Paving,303.0,Rock,Normal,2.8,17.8,Sunny,32.9,1,Intermediate,21,8.5,Fair,10.2,No,206.7,358.6
T1021,2025-01-01 19:56:00,MCH107,OP2003,Compaction,30.0,Debris,Normal,3.7,19.4,Windy,30.8,5,Expert,188,9.5,Good,3.1,No,11.4,43.1
T1022,2025-01-01 20:24:00,MCH103,OP2005,Grading,268.3,Soil,Normal,11.8,7.1,Rainy,22.0,3,Beginner,5,8.5,Fair,14.9,Yes,212.4,421.7
T1023,2025-01-01 20:24:00,MCH104,OP2007,Material_Loading,82.1,Debris,Normal,6.4,6.9,Sunny,26.3,8,Beginner,4,1.6,Good,0.0,No,52.3,60.4
T1024,2025-01-01 21:01:00,MCH100,OP2004,Trenching,245.0,Clay,Soft,5.5,2.2,Sunny,28.8,4,Expert,203,9.4,Good,16.6,No,254.2,241.2
T1025,2025-01-01 23:25:00,MCH103,OP2004,Material_Loading,134.7,Clay,Soft,3.4,36.6,Sunny,32.7,6,Expert,203,8.5,Fair,9.8,No,82.6,119.0
T1026,2025-01-01 23:32:00,MCH103,OP2012,Demolition,271.0,Clay,Normal,5.4,2.8,Windy,31.1,5,Intermediate,23,8.5,Fair,8.3,No,416.2,550.1
T1027,2025-01-02 01:14:00,MCH105,OP2003,Material_Loading,396.9,Rock,Soft,6.9,26.3,Sunny,16.7,1,Expert,188,11.7,Good,10.7,No,242.5,303.8
T1028,2025-01-02 01:56:00,MCH106,OP2017,Demolition,320.4,Concrete,Hard,6.3,5.4,Sunny,23.7,2,Intermediate,21,9.3,Fair,10.5,No,472.4,865.4
T1029,2025-01-02 01:58:00,MCH100,OP2007,Paving,207.7,Mixed,Hard,6.0,18.7,Cloudy,18.4,1,Beginner,4,9.4,Good,7.9,No,153.1,313.0
T1030,2025-01-02 03:13:00,MCH101,OP2015,Demolition,216.0,Debris,Soft,12.8,17.8,Sunny,25.0,8,Beginner,10,5.5,Poor,4.9,No,325.5,592.5
T1031,2025-01-02 03:54:00,MCH104,OP2014,Earth_Excavation,295.2,Rock,Hard,2.0,31.1,Sunny,24.9,7,Intermediate,37,1.6,Good,10.1,No,356.9,548.5
T1032,2025-01-02 04:16:00,MCH104,OP2018,Earth_Excavation,31.3,Mixed,Normal,2.1,39.2,Sunny,19.9,8,Beginner,14,1.6,Good,5.7,Yes,39.6,137.6
T1033,2025-01-02 04:22:00,MCH101,OP2014,Paving,295.2,Concrete,Soft,7.7,10.5,Sunny,22.5,1,Intermediate,37,5.5,Poor,13.2,No,212.0,357.6
T1034,2025-01-02 04:50:00,MCH101,OP2010,Material_Loading,353.0,Concrete,Normal,2.5,33.0,Sunny,31.3,2,Expert,148,5.5,Poor,1.5,No,213.1,327.0
T1035,2025-01-02 05:09:00,MCH106,OP2013,Grading,212.2,Concrete,Rocky,5.9,10.2,Cloudy,19.7,1,Intermediate,36,9.3,Fair,4.2,No,165.2,327.7
T1036,2025-01-02 05:36:00,MCH102,OP2000,Material_Loading,256.8,Mixed,Rocky,6.0,13.6,Windy,18.2,8,Expert,85,10.4,Fair,2.1,No,162.1,203.6
T1037,2025-01-02 05:55:00,MCH107,OP2009,Compaction,129.0,Clay,Soft,11.7,21.0,Sunny,30.9,7,Intermediate,37,9.5,Good,18.0,No,59.2,109.4
T1038,2025-01-02 06:16:00,MCH106,OP2007,Trenching,189.9,Rock,Normal,5.8,14.3,Rainy,27.7,3,Beginner,4,9.3,Fair,4.4,No,189.9,469.8
T1039,2025-01-02 06:32:00,MCH103,OP2005,Grading,369.0,Debris,Soft,6.1,33.9,Windy,26.1,6,Beginner,5,8.5,Fair,8.3,No,295.9,536.0
T1040,2025-01-02 06:41:00,MCH101,OP2009,Trenching,280.7,Concrete,Normal,14.3,16.9,Windy,18.5,8,Intermediate,37,5.5,Poor,17.5,No,283.9,522.5
T1041,2025-01-02 06:43:00,MCH108,OP2005,Earth_Excavation,74.1,Rock,Soft,5.7,35.1,Foggy,28.7,3,Beginner,5,2.0,Fair,14.7,No,82.2,228.5
T1042,2025-01-02 07:28:00,MCH107,OP2008,Compaction,296.9,Soil,Soft,3.4,16.6,Rainy,26.9,4,Beginner,14,9.5,Good,9.6,No,150.8,260.6
T1043,2025-01-02 07:41:00,MCH107,OP2006,Paving,70.9,Mixed,Normal,13.7,7.5,Sunny,28.2,4,Intermediate,23,9.5,Good,12.2,No,51.3,91.0
T1044,2025-01-02 08:18:00,MCH102,OP2008,Demolition,212.5,Mixed,Normal,4.6,24.9,Sunny,19.2,2,Beginner,14,10.4,Fair,16.1,No,328.7,563.8
T1045,2025-01-02 08:21:00,MCH104,OP2018,Earth_Excavation,109.9,Mixed,Rocky,24.8,2.9,Sunny,26.4,5,Beginner,14,1.6,Good,4.5,No,129.2,261.9
T1046,2025-01-02 09:00:00,MCH102,OP2010,Grading,254.5,Mixed,Soft,1.7,15.2,Cloudy,19.7,7,Expert,148,10.4,Fair,10.9,No,211.2,235.9
T1047,2025-01-02 10:23:00,MCH103,OP2010,Paving,370.3,Rock,Normal,2.6,26.7,Cloudy,32.0,5,Expert,148,8.5,Fair,12.9,No,258.8,335.2
T1048,2025-01-02 10:38:00,MCH107,OP2015,Earth_Excavation,183.6,Mixed,Normal,7.5,39.9,Windy,33.8,1,Beginner,10,9.5,Good,19.3,No,216.4,391.5
T1049,2025-01-02 11:11:00,MCH104,OP2009,Compaction,124.2,Soil,Rocky,6.6,8.3,Cloudy,35.7,5,Intermediate,37,1.6,Good,8.7,No,58.9,82.8
T1050,2025-01-02 11:27:00,MCH107,OP2019,Compaction,175.3,Concrete,Normal,6.2,27.6,Cloudy,28.2,5,Intermediate,32,9.5,Good,8.6,Yes,93.0,223.0
T1051,2025-01-02 11:28:00,MCH103,OP2014,Grading,272.7,Clay,Hard,6.8,8.0,Sunny,28.6,7,Intermediate,37,8.5,Fair,11.9,No,215.2,338.4
T1052,2025-01-02 13:59:00,MCH109,OP2013,Compaction,48.0,Mixed,Soft,2.2,17.6,Sunny,32.8,1,Intermediate,36,5.7,Fair,7.9,No,25.6,61.4
T1053,2025-01-02 17:27:00,MCH107,OP2015,Earth_Excavation,297.9,Clay,Hard,5.0,38.0,Cloudy,25.7,5,Beginner,10,9.5,Good,5.6,No,357.1,663.0
T1054,2025-01-02 17:51:00,MCH100,OP2017,Demolition,63.8,Rock,Soft,9.2,17.9,Sunny,36.7,3,Intermediate,21,9.4,Good,11.7,No,100.0,166.2
T1055,2025-01-02 18:11:00,MCH103,OP2007,Paving,76.9,Mixed,Normal,11.3,34.5,Windy,17.0,1,Beginner,4,8.5,Fair,7.9,No,63.0,174.0
T1056,2025-01-02 18:54:00,MCH106,OP2010,Trenching,283.0,Clay,Soft,4.7,31.9,Cloudy,20.9,4,Expert,148,9.3,Fair,3.6,No,275.2,304.5
T1057,2025-01-02 19:31:00,MCH105,OP2002,Trenching,102.4,Concrete,Soft,8.4,37.7,Sunny,28.1,3,Expert,182,11.7,Good,13.4,No,100.2,188.2
T1058,2025-01-02 21:51:00,MCH107,OP2011,Paving,200.3,Clay,Soft,17.2,12.2,Rainy,26.4,3,Expert,150,9.5,Good,15.8,No,140.0,187.3
T1059,2025-01-02 21:54:00,MCH108,OP2014,Paving,91.4,Rock,Hard,3.4,39.4,Cloudy,30.5,1,Intermediate,37,2.0,Fair,15.7,No,70.4,170.3
T1060,2025-01-02 22:01:00,MCH105,OP2012,Trenching,392.6,Rock,Soft,2.7,15.1,Rainy,28.4,2,Intermediate,23,11.7,Good,3.2,No,385.0,612.7
T1061,2025-01-02 23:23:00,MCH100,OP2007,Earth_Excavation,31.8,Clay,Normal,5.1,13.4,Windy,15.4,4,Beginner,4,9.4,Good,9.3,No,35.0,83.6
T1062,2025-01-03 00:03:00,MCH104,OP2015,Trenching,138.1,Concrete,Normal,2.3,8.4,Windy,38.9,2,Beginner,10,1.6,Good,0.1,No,139.0,231.9
T1063,2025-01-03 00:29:00,MCH103,OP2004,Paving,199.0,Clay,Normal,7.3,26.9,Rainy,22.2,8,Expert,203,8.5,Fair,8.8,No,140.5,197.3
T1064,2025-01-03 00:38:00,MCH100,OP2004,Trenching,222.1,Soil,Hard,2.4,20.8,Cloudy,33.5,2,Expert,203,9.4,Good,8.7,No,211.7,257.5
T1065,2025-01-03 01:08:00,MCH103,OP2012,Material_Loading,185.3,Rock,Normal,2.1,1.3,Windy,29.0,7,Intermediate,23,8.5,Fair,12.3,No,111.7,138.5
T1066,2025-01-03 02:53:00,MCH105,OP2019,Compaction,111.5,Clay,Normal,5.8,40.0,Sunny,33.2,2,Intermediate,32,11.7,Good,3.2,No,61.0,135.9
T1067,2025-01-03 03:35:00,MCH107,OP2002,Grading,124.4,Concrete,Normal,6.1,3.2,Sunny,28.2,8,Expert,182,9.5,Good,2.9,No,98.7,136.3
T1068,2025-01-03 03:39:00,MCH103,OP2007,Trenching,211.2,Mixed,Normal,2.4,39.4,Sunny,38.4,3,Beginner,4,8.5,Fair,3.0,No,214.3,369.5
T1069,2025-01-03 04:12:00,MCH104,OP2008,Material_Loading,374.6,Soil,Normal,5.5,37.6,Sunny,28.0,1,Beginner,14,1.6,Good,6.9,No,211.0,317.1
T1070,2025-01-03 04:38:00,MCH107,OP2018,Demolition,334.6,Debris,Normal,7.6,25.0,Windy,17.4,7,Beginner,14,9.5,Good,3.3,No,503.3,835.7
T1071,2025-01-03 06:18:00,MCH104,OP2012,Compaction,375.7,Concrete,Soft,6.9,30.9,Sunny,26.3,6,Intermediate,23,1.6,Good,6.1,No,184.4,254.2
T1072,2025-01-03 07:22:00,MCH106,OP2012,Grading,101.3,Concrete,Rocky,6.3,9.6,Cloudy,36.0,8,Intermediate,23,9.3,Fair,1.1,Yes,76.3,212.3
T1073,2025-01-03 07:36:00,MCH105,OP2006,Compaction,145.8,Debris,Hard,3.5,35.9,Sunny,30.9,2,Intermediate,23,11.7,Good,9.5,No,79.2,174.8
T1074,2025-01-03 07:50:00,MCH100,OP2010,Demolition,193.0,Soil,Rocky,1.8,17.2,Cloudy,15.2,3,Expert,148,9.4,Good,7.3,No,294.0,347.5
T1075,2025-01-03 09:09:00,MCH107,OP2016,Paving,86.3,Soil,Soft,2.7,20.7,Cloudy,23.7,5,Beginner,10,9.5,Good,0.1,No,64.4,101.7
T1076,2025-01-03 10:03:00,MCH103,OP2014,Grading,360.1,Clay,Normal,2.8,27.3,Windy,37.5,5,Intermediate,37,8.5,Fair,8.9,No,288.3,429.6
T1077,2025-01-03 12:00:00,MCH106,OP2003,Compaction,194.5,Clay,Soft,5.4,37.3,Sunny,20.1,8,Expert,188,9.3,Fair,4.9,No,98.8,141.3
T1078,2025-01-03 12:28:00,MCH104,OP2004,Material_Loading,34.4,Mixed,Soft,20.4,4.9,Sunny,35.6,3,Expert,203,1.6,Good,8.8,No,20.8,35.9
T1079,2025-01-03 13:11:00,MCH109,OP2016,Earth_Excavation,174.3,Debris,Normal,4.1,8.2,Sunny,29.5,6,Beginner,10,5.7,Fair,2.8,No,212.4,332.4
T1080,2025-01-03 14:21:00,MCH105,OP2017,Demolition,213.6,Mixed,Soft,7.1,3.4,Sunny,20.4,2,Intermediate,21,11.7,Good,15.0,No,313.5,367.5
T1081,2025-01-03 16:15:00,MCH105,OP2003,Paving,242.3,Rock,Soft,4.3,2.9,Sunny,15.9,2,Expert,188,11.7,Good,9.8,No,169.6,201.7
T1082,2025-01-03 17:26:00,MCH109,OP2008,Material_Loading,307.5,Debris,Hard,2.3,38.3,Sunny,13.3,5,Beginner,14,5.7,Fair,7.6,No,192.6,350.9
T1083,2025-01-03 17:28:00,MCH108,OP2006,Grading,146.2,Rock,Normal,19.6,30.7,Cloudy,20.3,6,Intermediate,23,2.0,Fair,5.2,No,123.9,217.0
T1084,2025-01-03 17:38:00,MCH102,OP2010,Material_Loading,24.7,Mixed,Rocky,6.6,12.0,Sunny,26.0,6,Expert,148,10.4,Fair,12.8,No,15.3,49.2
T1085,2025-01-03 18:02:00,MCH100,OP2008,Compaction,52.9,Clay,Normal,1.7,6.7,Sunny,23.1,3,Beginner,14,9.4,Good,8.8,No,25.3,48.6
T1086,2025-01-03 21:30:00,MCH109,OP2008,Trenching,156.0,Clay,Hard,3.2,11.8,Sunny,21.3,7,Beginner,14,5.7,Fair,17.4,No,159.0,292.9
T1087,2025-01-03 22:51:00,MCH107,OP2014,Earth_Excavation,97.4,Rock,Rocky,5.2,26.4,Windy,31.2,6,Intermediate,37,9.5,Good,8.3,No,113.8,262.1
T1088,2025-01-03 23:23:00,MCH105,OP2016,Earth_Excavation,362.1,Mixed,Rocky,2.8,33.3,Sunny,26.8,8,Beginner,10,11.7,Good,19.9,Yes,439.8,880.6
T1089,2025-01-04 00:29:00,MCH107,OP2014,Trenching,335.0,Clay,Soft,1.5,8.4,Sunny,27.4,6,Intermediate,37,9.5,Good,3.8,No,337.7,342.9
T1090,2025-01-04 01:58:00,MCH100,OP2016,Paving,196.2,Soil,Normal,9.2,27.8,Sunny,22.0,4,Beginner,10,9.4,Good,4.0,No,135.0,220.5
T1091,2025-01-04 04:31:00,MCH105,OP2007,Trenching,106.1,Soil,Hard,6.2,13.9,Sunny,31.6,3,Beginner,4,11.7,Good,0.6,No,107.8,215.7
T1092,2025-01-04 06:04:00,MCH104,OP2019,Grading,318.5,Soil,Rocky,6.7,32.9,Foggy,33.1,1,Intermediate,32,1.6,Good,7.1,No,255.4,413.6
T1093,2025-01-04 06:05:00,MCH102,OP2001,Grading,97.6,Concrete,Rocky,4.3,32.7,Windy,34.0,3,Intermediate,44,10.4,Fair,5.4,No,70.4,191.2
T1094,2025-01-04 06:21:00,MCH109,OP2001,Earth_Excavation,238.3,Rock,Soft,7.3,8.0,Cloudy,27.8,6,Intermediate,44,5.7,Fair,1.3,No,280.7,420.0
T1095,2025-01-04 06:40:00,MCH102,OP2001,Material_Loading,322.5,Concrete,Soft,5.5,25.7,Sunny,18.9,7,Intermediate,44,10.4,Fair,13.7,No,190.7,265.0
T1096,2025-01-04 07:22:00,MCH102,OP2013,Paving,29.9,Soil,Normal,3.5,6.6,Sunny,37.5,1,Intermediate,36,10.4,Fair,6.3,No,30.9,55.1
T1097,2025-01-04 07:43:00,MCH103,OP2005,Paving,136.4,Debris,Soft,4.8,20.8,Sunny,25.9,3,Beginner,5,8.5,Fair,7.3,No,94.2,189.8
T1098,2025-01-04 08:20:00,MCH108,OP2009,Earth_Excavation,224.1,Soil,Normal,10.9,7.9,Sunny,24.4,4,Intermediate,37,2.0,Fair,11.4,No,260.9,274.8
T1099,2025-01-04 08:46:00,MCH108,OP2018,Paving,95.3,Clay,Rocky,11.1,33.8,Cloudy,30.4,4,Beginner,14,2.0,Fair,15.0,No,72.5,185.0
T1100,2025-01-04 08:48:00,MCH108,OP2001,Paving,228.9,Soil,Normal,3.2,38.9,Cloudy,29.7,5,Intermediate,44,2.0,Fair,9.1,No,154.1,211.4
T1101,2025-01-04 10:09:00,MCH102,OP2013,Trenching,135.0,Debris,Normal,2.8,37.2,Sunny,17.0,3,Intermediate,36,10.4,Fair,18.7,No,130.4,230.8
T1102,2025-01-04 12:11:00,MCH101,OP2011,Paving,76.3,Concrete,Normal,1.4,6.0,Foggy,21.8,1,Expert,150,5.5,Poor,17.0,No,59.9,119.9
T1103,2025-01-04 14:52:00,MCH109,OP2014,Compaction,381.2,Concrete,Normal,7.5,24.9,Sunny,31.4,3,Intermediate,37,5.7,Fair,0.2,No,189.9,281.6
T1104,2025-01-04 17:16:00,MCH105,OP2003,Demolition,200.5,Debris,Soft,3.9,22.4,Cloudy,27.6,5,Expert,188,11.7,Good,12.0,No,303.9,359.8
T1105,2025-01-04 18:07:00,MCH107,OP2005,Paving,258.3,Rock,Soft,8.8,24.6,Sunny,20.1,3,Beginner,5,9.5,Good,12.8,No,179.8,352.6
T1106,2025-01-04 18:18:00,MCH103,OP2012,Compaction,42.4,Rock,Normal,2.6,3.8,Sunny,21.5,3,Intermediate,23,8.5,Fair,5.3,No,18.6,35.9
T1107,2025-01-04 19:31:00,MCH101,OP2015,Demolition,162.7,Concrete,Normal,11.9,4.2,Sunny,23.6,8,Beginner,10,5.5,Poor,8.9,No,239.1,512.6
T1108,2025-01-04 19:32:00,MCH108,OP2014,Paving,323.8,Soil,Hard,7.0,21.6,Sunny,21.7,2,Intermediate,37,2.0,Fair,13.9,No,227.5,300.7
T1109,2025-01-04 21:28:00,MCH109,OP2012,Demolition,157.4,Debris,Normal,5.5,7.4,Cloudy,25.6,4,Intermediate,23,5.7,Fair,17.4,No,237.8,304.5
T1110,2025-01-04 21:32:00,MCH103,OP2016,Earth_Excavation,46.5,Rock,Hard,5.7,5.1,Cloudy,17.9,2,Beginner,10,8.5,Fair,15.0,No,68.3,178.3
T1111,2025-01-04 21:55:00,MCH105,OP2001,Material_Loading,56.9,Concrete,Soft,4.5,17.2,Windy,16.6,7,Intermediate,44,11.7,Good,12.3,No,36.2,75.7
T1112,2025-01-04 22:25:00,MCH100,OP2012,Earth_Excavation,95.4,Rock,Rocky,1.9,30.8,Sunny,30.7,7,Intermediate,23,9.4,Good,17.8,No,114.8,263.3
T1113,2025-01-04 23:08:00,MCH104,OP2018,Material_Loading,124.7,Clay,Hard,2.7,7.1,Foggy,34.1,8,Beginner,14,1.6,Good,18.3,No,68.5,113.2
T1114,2025-01-05 01:09:00,MCH106,OP2006,Paving,278.4,Rock,Soft,2.8,38.7,Sunny,25.4,1,Intermediate,23,9.3,Fair,15.2,No,197.3,399.4
T1115,2025-01-05 03:31:00,MCH107,OP2009,Grading,40.2,Clay,Soft,6.7,37.3,Cloudy,30.0,8,Intermediate,37,9.5,Good,12.3,No,18.3,89.8
T1116,2025-01-05 03:39:00,MCH103,OP2016,Trenching,220.3,Clay,Soft,7.6,29.2,Sunny,36.5,2,Beginner,10,8.5,Fair,19.9,No,212.7,365.5
T1117,2025-01-05 04:04:00,MCH108,OP2017,Paving,328.5,Concrete,Normal,7.7,6.2,Sunny,24.0,1,Intermediate,21,2.0,Fair,10.4,No,231.2,328.3
T1118,2025-01-05 04:57:00,MCH106,OP2015,Demolition,308.9,Concrete,Normal,2.9,33.4,Sunny,26.2,5,Beginner,10,9.3,Fair,10.3,Yes,460.8,949.1
T1119,2025-01-05 06:03:00,MCH102,OP2006,Material_Loading,153.3,Clay,Normal,2.3,29.1,Sunny,34.2,4,Intermediate,23,10.4,Fair,13.7,No,90.2,158.0
T1120,2025-01-05 06:24:00,MCH101,OP2017,Material_Loading,146.5,Mixed,Normal,3.0,21.0,Cloudy,29.6,6,Intermediate,21,5.5,Poor,7.5,No,89.0,147.9
T1121,2025-01-05 06:25:00,MCH101,OP2017,Demolition,103.4,Debris,Soft,6.6,34.7,Sunny,26.0,4,Intermediate,21,5.5,Poor,16.4,No,155.9,285.3
T1122,2025-01-05 07:04:00,MCH100,OP2009,Demolition,31.7,Clay,Hard,3.2,33.2,Rainy,26.2,6,Intermediate,37,9.4,Good,3.9,No,45.8,112.6
T1123,2025-01-05 07:41:00,MCH100,OP2003,Earth_Excavation,250.8,Mixed,Soft,10.8,13.2,Sunny,31.2,6,Expert,188,9.4,Good,9.8,Yes,300.3,344.4
T1124,2025-01-05 08:21:00,MCH109,OP2002,Paving,243.6,Clay,Hard,4.3,5.5,Windy,29.4,5,Expert,182,5.7,Fair,1.2,No,168.8,190.2
T1125,2025-01-05 09:10:00,MCH108,OP2009,Trenching,261.5,Debris,Normal,7.6,38.5,Sunny,27.9,5,Intermediate,37,2.0,Fair,5.3,No,258.5,346.4
T1126,2025-01-05 09:20:00,MCH102,OP2004,Material_Loading,197.0,Concrete,Hard,7.4,7.6,Windy,32.8,1,Expert,203,10.4,Fair,17.5,Yes,123.8,269.3
T1127,2025-01-05 10:48:00,MCH102,OP2011,Earth_Excavation,169.6,Clay,Hard,1.3,24.2,Sunny,23.7,8,Expert,150,10.4,Fair,5.3,Yes,198.5,299.5
T1128,2025-01-05 10:51:00,MCH100,OP2004,Grading,194.0,Concrete,Normal,4.0,3.9,Rainy,18.0,1,Expert,203,9.4,Good,0.3,No,145.8,218.7
T1129,2025-01-05 11:26:00,MCH102,OP2004,Earth_Excavation,128.9,Concrete,Normal,5.9,2.8,Cloudy,14.1,2,Expert,203,10.4,Fair,4.4,No,147.5,194.4
T1130,2025-01-05 13:04:00,MCH109,OP2018,Grading,224.9,Clay,Normal,9.7,2.7,Sunny,32.1,7,Beginner,14,5.7,Fair,9.7,No,172.7,259.0
T1131,2025-01-05 13:07:00,MCH109,OP2011,Earth_Excavation,240.7,Mixed,Hard,11.2,18.8,Sunny,23.2,5,Expert,150,5.7,Fair,1.2,No,287.4,375.1
T1132,2025-01-05 16:07:00,MCH101,OP2001,Paving,308.8,Debris,Soft,5.1,3.3,Sunny,22.1,6,Intermediate,44,5.5,Poor,14.9,No,221.8,271.4
T1133,2025-01-05 16:15:00,MCH106,OP2017,Earth_Excavation,351.0,Debris,Soft,17.2,7.8,Sunny,36.2,3,Intermediate,21,9.3,Fair,0.4,No,421.3,552.3
T1134,2025-01-05 18:29:00,MCH101,OP2014,Trenching,181.8,Mixed,Soft,3.8,21.6,Sunny,26.8,4,Intermediate,37,5.5,Poor,1.9,No,182.1,254.1
T1135,2025-01-05 19:34:00,MCH100,OP2016,Compaction,30.5,Clay,Soft,4.4,32.5,Windy,26.8,8,Beginner,10,9.4,Good,3.1,No,23.8,84.9
T1136,2025-01-05 19:44:00,MCH104,OP2015,Trenching,129.7,Rock,Rocky,7.7,8.1,Windy,24.5,2,Beginner,10,1.6,Good,12.5,No,123.9,304.8
T1137,2025-01-05 20:23:00,MCH101,OP2000,Earth_Excavation,51.6,Rock,Soft,8.0,10.4,Sunny,31.1,6,Expert,85,5.5,Poor,2.3,No,50.6,82.6
T1138,2025-01-05 21:40:00,MCH100,OP2001,Grading,262.6,Mixed,Normal,8.7,33.6,Sunny,17.6,2,Intermediate,44,9.4,Good,19.6,No,219.6,349.0
T1139,2025-01-05 23:28:00,MCH105,OP2007,Grading,381.8,Clay,Normal,5.7,6.1,Windy,26.0,2,Beginner,4,11.7,Good,7.3,No,298.4,513.2
T1140,2025-01-06 00:39:00,MCH100,OP2010,Trenching,22.1,Debris,Soft,7.5,29.3,Sunny,23.0,5,Expert,148,9.4,Good,4.9,No,23.3,67.9
T1141,2025-01-06 02:10:00,MCH106,OP2003,Compaction,56.4,Soil,Normal,1.3,31.2,Sunny,29.6,7,Expert,188,9.3,Fair,16.1,No,21.1,80.6
T1142,2025-01-06 03:20:00,MCH107,OP2004,Earth_Excavation,191.5,Rock,Soft,2.3,22.9,Sunny,32.4,1,Expert,203,9.5,Good,17.8,No,221.2,307.9
T1143,2025-01-06 06:30:00,MCH106,OP2019,Material_Loading,169.0,Mixed,Normal,9.1,28.6,Sunny,34.6,8,Intermediate,32,9.3,Fair,0.7,No,99.9,135.4
T1144,2025-01-06 08:05:00,MCH104,OP2001,Compaction,293.4,Soil,Normal,1.4,6.3,Sunny,22.8,3,Intermediate,44,1.6,Good,0.9,No,143.0,130.7
T1145,2025-01-06 09:28:00,MCH109,OP2019,Earth_Excavation,209.4,Rock,Normal,7.9,27.4,Sunny,32.6,8,Intermediate,32,5.7,Fair,16.9,Yes,253.7,444.9
