Timestamp,Machine_ID,Operator_ID,Operator_Experience_Months,Shift_Type,Engine_Hours,Fuel_Used_L,Load_Cycles,Load_Weight_tons,Max_Load_Capacity_tons,Load_Utilization_pct,Idling_Time_min,Operator_Shift_Hours,Continuous_Driving_min,Machine_Speed_kmph,Harsh_Braking_Events,Harsh_Acceleration_Events,Ground_Slope_deg,Machine_Tilt_deg,Weather_Condition,Visibility_m,Seatbelt_Status,Proximity_Hazard,Min_Obstacle_Distance_m,Safety_Alert_Triggered
2025-01-01 14:01:00,EXC105,OP1013,89,Evening,599.9,10.1,22,19.45,50,38.9,63.9,9.5,26.2,27.1,7,2,1.5,0.0,Clear,407.9,Fastened,No,21.56,No
2025-01-01 15:02:00,EXC105,OP1003,234,Evening,600.2,9.18,3,24.12,50,48.2,0.2,10.18,65.1,5.6,4,1,13.0,8.5,Clear,311.1,Unfastened,No,8.46,Yes
2025-01-01 15:05:00,EXC102,OP1003,234,Night,1170.3,6.87,8,35.59,40,89.0,67.1,3.12,29.2,6.2,3,1,8.5,0.9,Clear,294.7,Fastened,No,13.01,No
2025-01-01 15:37:00,EXC106,OP1000,49,Morning,1749.0,6.76,24,11.73,20,58.6,46.5,0.06,114.7,4.3,1,1,11.2,8.5,Clear,289.6,Fastened,No,7.58,No
2025-01-01 15:41:00,EXC106,OP1001,23,Evening,1750.1,5.51,7,15.84,20,79.2,88.2,1.44,61.9,8.3,0,1,10.4,4.2,Clear,283.3,Fastened,No,46.57,No
2025-01-01 16:05:00,EXC103,OP1010,201,Evening,845.0,1.94,1,12.09,30,40.3,16.4,1.53,131.2,31.1,2,0,3.3,6.8,Clear,202.0,Fastened,No,16.08,No
2025-01-01 16:49:00,EXC102,OP1001,23,Evening,1170.8,1.16,24,20.5,40,51.2,71.3,5.88,26.9,14.3,0,0,7.0,3.7,Clear,359.1,Fastened,No,23.9,No
2025-01-01 17:02:00,EXC104,OP1000,49,Morning,1341.9,2.84,11,6.98,30,23.3,0.4,0.32,35.1,2.2,1,0,3.9,5.5,Clear,180.9,Fastened,No,46.64,No
2025-01-01 17:17:00,EXC106,OP1014,44,Morning,1750.9,6.3,10,23.0,20,115.0,68.7,3.29,96.7,13.4,5,2,6.2,4.6,Cloudy,213.0,Fastened,No,23.07,No
2025-01-01 17:18:00,EXC107,OP1003,234,Morning,1449.9,6.5,6,37.58,40,93.9,9.1,3.24,119.8,15.9,2,3,3.3,5.6,Cloudy,208.5,Fastened,No,35.57,No
2025-01-01 18:09:00,EXC101,OP1004,176,Morning,1738.4,4.53,17,50.49,50,101.0,20.8,7.39,118.7,13.1,2,1,1.7,4.8,Clear,257.1,Fastened,No,26.48,No
2025-01-01 18:30:00,EXC105,OP1001,23,Morning,601.4,8.7,23,40.33,50,80.7,81.9,10.57,148.1,39.7,8,2,3.8,9.2,Rain,90.0,Unfastened,No,23.0,Yes
2025-01-01 18:36:00,EXC100,OP1012,120,Morning,1468.8,11.24,11,8.26,20,41.3,62.5,2.15,24.7,5.9,0,0,8.0,3.4,Rain,134.6,Unfastened,No,22.59,No
2025-01-01 18:41:00,EXC105,OP1008,123,Evening,601.8,13.35,0,30.38,50,60.8,18.6,2.57,69.7,34.1,1,1,1.1,2.8,Clear,317.6,Fastened,No,29.73,No
2025-01-01 18:51:00,EXC107,OP1012,120,Night,1451.0,3.41,9,11.02,40,27.6,65.0,11.25,114.2,1.0,2,1,0.1,0.0,Rain,103.1,Unfastened,No,38.84,No
2025-01-01 18:55:00,EXC107,OP1004,176,Morning,1451.3,13.62,5,32.11,40,80.3,85.3,2.87,73.2,32.5,1,4,1.4,0.0,Clear,372.1,Fastened,No,16.88,No
2025-01-01 19:00:00,EXC106,OP1001,23,Evening,1751.7,11.48,10,19.02,20,95.1,34.2,4.21,109.9,11.3,1,0,3.8,4.8,Fog,21.7,Fastened,No,47.01,No
2025-01-01 19:07:00,EXC102,OP1011,108,Night,1171.9,1.75,27,18.43,40,46.1,14.2,3.54,90.2,13.2,2,1,1.5,0.0,Cloudy,214.7,Fastened,No,15.97,No
2025-01-01 19:13:00,EXC105,OP1014,44,Morning,603.2,8.48,15,47.73,50,95.5,35.1,9.93,10.2,11.9,3,1,6.1,4.7,Cloudy,199.9,Fastened,No,33.74,No
2025-01-01 19:13:00,EXC100,OP1005,182,Night,1469.2,2.98,23,10.38,20,51.9,84.0,10.03,83.5,38.9,2,5,3.8,7.2,Clear,321.0,Fastened,No,10.32,No
2025-01-01 19:26:00,EXC102,OP1003,234,Morning,1173.0,12.43,19,18.78,40,46.9,89.4,10.9,87.4,28.9,5,0,3.5,0.0,Clear,210.7,Fastened,No,22.92,No
2025-01-01 19:44:00,EXC107,OP1001,23,Morning,1452.0,9.5,0,7.5,40,18.7,23.8,4.9,178.6,15.7,0,5,0.6,0.0,Rain,125.9,Unfastened,No,49.77,No
2025-01-01 19:57:00,EXC102,OP1005,182,Morning,1173.9,10.46,18,12.18,40,30.5,19.5,3.86,119.5,27.1,1,0,17.9,16.7,Cloudy,179.2,Fastened,No,21.23,No
2025-01-01 20:10:00,EXC100,OP1001,23,Morning,1470.4,8.37,22,9.5,20,47.5,48.7,1.58,40.1,8.9,3,1,7.2,4.5,Cloudy,270.3,Fastened,No,26.62,No
2025-01-01 20:21:00,EXC103,OP1013,89,Night,845.6,7.97,11,7.3,30,24.3,39.0,10.15,27.9,22.7,2,1,0.6,0.0,Fog,17.3,Fastened,No,48.13,No
2025-01-01 20:27:00,EXC100,OP1011,108,Evening,1471.3,1.36,12,15.45,20,77.3,56.3,3.79,26.2,17.4,0,1,9.3,3.5,Clear,396.8,Fastened,No,21.55,No
2025-01-01 20:28:00,EXC105,OP1010,201,Night,603.9,13.8,15,51.9,50,103.8,9.7,2.76,73.4,13.0,1,1,11.9,4.3,Clear,330.5,Fastened,Yes,1.55,No
2025-01-01 20:59:00,EXC102,OP1002,126,Night,1175.4,7.83,1,20.65,40,51.6,3.3,5.12,18.0,16.0,1,0,1.4,0.0,Cloudy,265.8,Fastened,No,25.88,No
2025-01-01 21:07:00,EXC103,OP1010,201,Morning,846.5,4.43,14,13.09,30,43.6,44.9,1.95,173.2,17.9,1,0,0.1,4.4,Cloudy,117.9,Fastened,No,47.55,No
2025-01-01 21:32:00,EXC100,OP1000,49,Evening,1472.8,14.9,0,8.83,20,44.1,88.0,3.93,60.1,27.5,2,1,3.7,7.0,Rain,46.0,Fastened,Yes,6.4,No
2025-01-01 21:34:00,EXC106,OP1003,234,Night,1753.1,5.14,20,15.44,20,77.2,2.6,3.04,67.3,23.8,2,2,11.1,13.1,Rain,63.7,Fastened,No,40.01,No
2025-01-01 22:00:00,EXC103,OP1014,44,Morning,847.6,12.9,11,10.95,30,36.5,42.3,10.23,163.3,34.9,6,3,2.7,3.8,Cloudy,125.6,Fastened,No,7.09,Yes
2025-01-01 22:23:00,EXC101,OP1002,126,Evening,1739.7,10.85,2,20.78,50,41.6,14.4,4.71,18.2,37.4,4,1,6.5,2.7,Clear,102.9,Fastened,Yes,3.88,Yes
2025-01-01 22:31:00,EXC107,OP1008,123,Morning,1453.4,13.42,24,28.2,40,70.5,8.6,8.88,50.8,5.4,0,2,7.4,6.6,Clear,178.0,Fastened,No,33.07,No
2025-01-01 22:55:00,EXC102,OP1002,126,Evening,1176.3,9.1,24,28.09,40,70.2,4.8,0.05,150.5,8.0,3,3,5.4,2.4,Rain,39.8,Fastened,No,27.81,No
2025-01-01 23:05:00,EXC105,OP1004,176,Evening,604.9,8.18,0,27.75,50,55.5,63.2,9.8,137.7,30.8,2,4,5.4,1.9,Fog,10.7,Fastened,No,12.86,Yes
2025-01-01 23:24:00,EXC106,OP1013,89,Night,1753.5,1.18,26,11.69,20,58.5,76.0,6.63,38.0,29.7,3,0,3.4,7.1,Rain,41.1,Fastened,No,28.63,No
2025-01-01 23:27:00,EXC103,OP1010,201,Evening,848.1,5.99,1,10.06,30,33.5,36.1,8.84,95.0,39.0,4,3,3.4,0.0,Clear,52.1,Unfastened,Yes,3.69,Yes
2025-01-01 23:38:00,EXC101,OP1008,123,Evening,1740.0,8.88,22,20.37,50,40.7,63.5,3.59,128.0,11.3,1,1,6.9,10.7,Clear,164.1,Fastened,No,35.03,No
2025-01-01 23:38:00,EXC106,OP1008,123,Night,1754.9,1.35,3,11.2,20,56.0,87.8,2.83,36.2,24.8,2,2,7.9,2.7,Clear,148.1,Fastened,No,48.88,No
2025-01-01 23:45:00,EXC102,OP1014,44,Evening,1177.4,4.53,29,23.26,40,58.2,46.0,11.48,162.8,15.9,4,3,10.6,4.5,Clear,144.8,Fastened,Yes,7.82,Yes
2025-01-02 00:11:00,EXC103,OP1010,201,Morning,849.1,7.11,4,25.87,30,86.2,15.8,11.2,159.2,14.4,3,5,6.6,2.8,Cloudy,97.4,Fastened,Yes,4.72,Yes
2025-01-02 00:21:00,EXC102,OP1006,172,Morning,1178.5,2.24,25,45.7,40,114.3,85.9,5.31,94.3,23.9,1,0,5.6,1.5,Clear,135.9,Unfastened,Yes,5.14,No
2025-01-02 00:26:00,EXC105,OP1005,182,Evening,605.7,10.44,18,28.07,50,56.1,5.2,7.5,117.6,22.3,0,1,14.0,8.7,Cloudy,79.5,Fastened,No,37.31,Yes
2025-01-02 00:45:00,EXC105,OP1002,126,Morning,605.9,10.98,20,10.0,50,20.0,20.2,9.9,145.7,34.2,3,3,8.5,5.1,Clear,176.3,Fastened,No,33.68,No
2025-01-02 00:58:00,EXC101,OP1010,201,Morning,1740.4,14.21,13,26.15,50,52.3,88.3,4.4,169.7,27.8,6,5,5.5,1.0,Clear,149.5,Fastened,No,12.56,Yes
2025-01-02 01:16:00,EXC104,OP1004,176,Morning,1342.8,12.32,19,23.33,30,77.8,26.6,8.69,26.3,35.8,3,2,8.5,12.0,Clear,149.7,Fastened,No,43.24,No
2025-01-02 01:19:00,EXC105,OP1013,89,Morning,606.5,11.63,17,12.09,50,24.2,6.8,8.89,173.8,39.8,5,2,6.0,2.5,Fog,10.3,Fastened,No,9.92,Yes
2025-01-02 01:22:00,EXC102,OP1013,89,Night,1179.8,2.33,0,22.14,40,55.3,40.3,2.23,132.4,2.3,2,0,2.0,4.8,Clear,142.0,Fastened,Yes,1.19,Yes
2025-01-02 01:24:00,EXC103,OP1011,108,Night,850.3,9.58,17,20.78,30,69.3,77.4,9.58,0.3,19.5,2,1,5.4,5.9,Clear,205.5,Unfastened,No,21.71,No
2025-01-02 02:05:00,EXC106,OP1011,108,Morning,1755.5,14.91,28,13.56,20,67.8,6.9,7.08,4.4,7.2,1,2,5.4,2.6,Cloudy,92.6,Unfastened,No,45.24,No
2025-01-02 02:10:00,EXC106,OP1000,49,Evening,1756.2,11.49,1,11.12,20,55.6,22.0,10.59,6.8,29.5,4,0,6.7,2.8,Clear,131.0,Fastened,Yes,3.18,Yes
2025-01-02 02:18:00,EXC104,OP1003,234,Evening,1344.0,3.53,19,16.94,30,56.5,59.5,2.68,93.0,25.5,1,0,11.7,4.4,Heavy_Rain,11.6,Fastened,Yes,0.65,No
2025-01-02 02:32:00,EXC101,OP1004,176,Morning,1741.1,1.68,16,25.4,50,50.8,65.8,2.69,156.3,27.6,1,0,1.1,1.1,Clear,148.2,Fastened,Yes,7.75,No
2025-01-02 03:19:00,EXC104,OP1008,123,Night,1345.3,13.77,11,14.46,30,48.2,40.4,4.63,8.4,36.4,4,0,5.4,6.0,Cloudy,119.7,Unfastened,Yes,1.61,Yes
2025-01-02 03:38:00,EXC107,OP1009,31,Morning,1454.2,12.69,14,24.55,40,61.4,3.3,3.05,125.7,14.4,1,1,5.8,9.7,Cloudy,133.7,Fastened,No,11.89,No
2025-01-02 03:54:00,EXC103,OP1014,44,Morning,851.5,3.33,12,13.8,30,46.0,4.0,9.85,118.2,10.0,2,3,1.1,3.7,Rain,55.5,Fastened,No,10.52,Yes
2025-01-02 04:07:00,EXC100,OP1013,89,Evening,1473.6,1.15,20,9.39,20,46.9,74.3,7.87,143.4,27.7,3,3,8.0,2.2,Cloudy,99.9,Fastened,No,29.63,Yes
2025-01-02 04:36:00,EXC107,OP1006,172,Evening,1454.9,2.51,9,20.99,40,52.5,18.4,6.41,107.1,1.6,2,2,6.7,7.6,Clear,201.6,Fastened,No,14.22,No
2025-01-02 05:00:00,EXC104,OP1013,89,Morning,1346.5,9.02,12,22.86,30,76.2,73.7,2.89,113.7,22.0,2,1,5.2,1.2,Clear,174.3,Fastened,No,11.04,No
2025-01-02 05:17:00,EXC102,OP1001,23,Morning,1179.9,6.23,29,46.0,40,115.0,16.2,6.4,130.1,3.8,1,6,10.8,8.2,Clear,177.1,Unfastened,Yes,1.27,Yes
2025-01-02 05:42:00,EXC104,OP1005,182,Morning,1347.1,6.17,14,26.27,30,87.6,40.2,3.71,29.8,14.9,1,1,6.8,8.1,Clear,135.8,Fastened,Yes,3.35,No
2025-01-02 06:34:00,EXC101,OP1001,23,Morning,1741.4,14.09,15,53.57,50,107.1,57.2,9.51,47.8,29.0,5,6,7.6,7.5,Fog,16.1,Fastened,No,12.29,Yes
2025-01-02 06:36:00,EXC101,OP1007,188,Evening,1742.4,5.65,20,31.47,50,62.9,38.5,11.55,127.0,0.1,4,4,4.0,1.5,Rain,83.1,Fastened,No,38.12,No
2025-01-02 06:40:00,EXC103,OP1004,176,Evening,852.9,5.36,3,16.24,30,54.1,15.2,8.95,100.3,7.0,3,1,8.5,5.4,Clear,299.0,Unfastened,No,41.42,No
2025-01-02 07:35:00,EXC101,OP1002,126,Evening,1743.7,10.25,22,37.96,50,75.9,12.6,2.79,175.5,30.8,2,1,1.6,1.8,Clear,270.7,Unfastened,No,21.18,No
2025-01-02 07:44:00,EXC100,OP1000,49,Night,1474.5,7.31,13,9.14,20,45.7,6.7,2.69,16.3,5.1,2,0,6.2,4.6,Fog,34.8,Fastened,No,9.8,No
2025-01-02 07:48:00,EXC102,OP1011,108,Evening,1180.6,1.65,26,36.33,40,90.8,28.9,1.65,93.3,36.8,2,3,6.0,5.5,Cloudy,134.2,Unfastened,Yes,2.92,Yes
2025-01-02 07:51:00,EXC100,OP1000,49,Morning,1475.3,2.51,16,15.22,20,76.1,81.6,9.92,160.7,5.9,4,0,4.8,2.8,Clear,334.1,Fastened,Yes,5.94,Yes
2025-01-02 08:02:00,EXC102,OP1000,49,Morning,1181.5,5.88,10,41.34,40,103.3,85.4,1.43,54.9,18.9,1,2,5.0,5.5,Cloudy,196.5,Unfastened,No,39.62,No
2025-01-02 08:12:00,EXC101,OP1006,172,Morning,1744.3,1.13,6,21.61,50,43.2,0.2,6.78,126.7,22.5,3,0,2.1,4.3,Cloudy,231.8,Fastened,No,36.83,No
2025-01-02 08:19:00,EXC100,OP1005,182,Evening,1476.5,5.69,21,12.88,20,64.4,22.4,9.85,31.9,14.4,1,5,4.0,3.0,Clear,205.4,Fastened,No,7.13,No
2025-01-02 08:25:00,EXC102,OP1002,126,Night,1182.1,6.26,9,18.54,40,46.4,75.3,11.6,12.0,9.7,2,0,2.7,2.9,Clear,333.1,Fastened,No,43.33,No
2025-01-02 08:45:00,EXC101,OP1011,108,Evening,1744.5,14.77,19,9.59,50,19.2,39.4,11.47,35.9,7.4,0,3,4.6,0.0,Clear,360.2,Fastened,No,20.64,No
2025-01-02 09:33:00,EXC105,OP1013,89,Morning,607.4,9.55,29,38.61,50,77.2,78.2,7.26,91.4,4.9,3,2,8.5,7.0,Clear,232.7,Unfastened,No,43.19,No
2025-01-02 09:55:00,EXC106,OP1008,123,Morning,1756.3,4.3,11,5.61,20,28.1,80.0,4.65,152.1,22.2,1,4,5.3,2.6,Cloudy,177.4,Fastened,No,39.74,No
2025-01-02 10:17:00,EXC101,OP1009,31,Night,1745.0,7.89,10,19.13,50,38.3,66.8,5.66,122.5,19.4,3,0,6.8,3.7,Clear,348.0,Fastened,No,40.65,No
2025-01-02 10:23:00,EXC104,OP1001,23,Morning,1348.2,11.86,22,17.51,30,58.4,47.0,0.18,122.7,24.6,4,1,5.8,4.4,Clear,288.2,Fastened,Yes,1.79,Yes
2025-01-02 10:26:00,EXC104,OP1006,172,Night,1349.4,13.98,11,12.62,30,42.1,45.5,7.02,37.8,8.0,2,0,3.3,0.9,Clear,302.4,Fastened,Yes,4.29,No
2025-01-02 10:48:00,EXC107,OP1000,49,Evening,1455.3,3.63,1,22.98,40,57.4,55.5,5.83,20.1,31.4,3,1,9.3,6.3,Cloudy,184.6,Fastened,No,49.83,No
2025-01-02 11:05:00,EXC103,OP1000,49,Evening,853.7,1.5,29,0.0,30,0.0,7.5,0.56,49.5,19.0,3,1,4.5,0.0,Clear,290.0,Fastened,Yes,3.35,No
2025-01-02 12:12:00,EXC104,OP1012,120,Morning,1349.8,7.55,20,8.55,30,28.5,51.6,9.21,150.3,15.9,3,0,8.9,7.0,Clear,311.7,Unfastened,Yes,6.43,Yes
2025-01-02 12:33:00,EXC102,OP1004,176,Evening,1182.6,7.3,29,30.72,40,76.8,39.5,10.81,156.4,13.8,3,3,7.6,4.8,Clear,348.1,Fastened,No,39.88,No
2025-01-02 12:55:00,EXC100,OP1006,172,Night,1476.8,1.86,10,18.86,20,94.3,85.7,10.88,134.9,0.8,1,2,10.2,4.6,Fog,22.9,Fastened,No,36.3,No
2025-01-02 13:04:00,EXC105,OP1002,126,Night,608.3,14.4,20,25.2,50,50.4,42.6,1.92,139.1,9.7,0,3,11.6,6.4,Cloudy,231.8,Unfastened,No,46.77,No
2025-01-02 13:13:00,EXC107,OP1012,120,Night,1455.8,8.26,6,28.02,40,70.0,56.6,5.17,31.4,33.3,2,0,10.5,11.3,Clear,254.7,Fastened,No,35.49,No
2025-01-02 14:06:00,EXC106,OP1003,234,Evening,1757.1,7.57,23,16.24,20,81.2,61.6,7.3,175.0,5.6,1,6,2.7,0.5,Cloudy,205.7,Unfastened,No,15.25,No
2025-01-02 14:36:00,EXC103,OP1005,182,Night,855.1,11.75,17,30.62,30,102.1,79.2,1.7,105.1,15.1,2,0,6.7,0.6,Rain,143.7,Fastened,No,31.01,No
2025-01-02 14:42:00,EXC101,OP1004,176,Evening,1745.3,5.17,25,9.5,50,19.0,57.1,7.63,13.0,38.8,3,2,4.3,0.9,Cloudy,179.7,Unfastened,No,33.66,No
2025-01-02 15:13:00,EXC101,OP1012,120,Morning,1745.9,4.75,25,31.67,50,63.3,41.0,5.74,23.8,28.1,2,3,0.9,0.0,Cloudy,223.9,Fastened,Yes,1.09,No
2025-01-02 15:54:00,EXC105,OP1000,49,Morning,609.0,7.98,22,21.61,50,43.2,73.3,10.18,125.6,21.2,6,2,7.8,0.3,Fog,21.0,Fastened,No,10.0,Yes
2025-01-02 16:00:00,EXC104,OP1014,44,Evening,1350.8,10.49,5,21.49,30,71.6,44.8,2.11,110.6,11.8,6,0,4.6,4.1,Cloudy,246.2,Fastened,Yes,1.6,Yes
